# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08097e-07 to 53.7894 h/Mpc,
# number of wavenumbers equal to 6855
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       9.759120002768e-05       1.989185212171e+07       1.989181209691e+07       2.532443420183e+07       0.000000000000e+00       1.988747801230e+07       6.160660063285e+06 
       9.828231829651e-05       1.989182572242e+07       1.989178513365e+07       2.530773705073e+07       0.000000000000e+00       1.988744192904e+07       6.160650853595e+06 
       9.897412817761e-05       1.989179911178e+07       1.989175795464e+07       2.529091545394e+07       0.000000000000e+00       1.988740555639e+07       6.160641570675e+06 
       9.966663507971e-05       1.989177228908e+07       1.989173055913e+07       2.527396916709e+07       0.000000000000e+00       1.988736889335e+07       6.160632214283e+06 
       1.003598444277e-04       1.989174525357e+07       1.989170294639e+07       2.525689794431e+07       0.000000000000e+00       1.988733193889e+07       6.160622784173e+06 
       1.010537616628e-04       1.989171800452e+07       1.989167511565e+07       2.523970153821e+07       0.000000000000e+00       1.988729469197e+07       6.160613280097e+06 
       1.017483922427e-04       1.989169054117e+07       1.989164706614e+07       2.522237969989e+07       0.000000000000e+00       1.988725715157e+07       6.160603701806e+06 
       1.024437416414e-04       1.989166286276e+07       1.989161879711e+07       2.520493217897e+07       0.000000000000e+00       1.988721931664e+07       6.160594049048e+06 
       1.031398153500e-04       1.989163496854e+07       1.989159030776e+07       2.518735872353e+07       0.000000000000e+00       1.988718118611e+07       6.160584321570e+06 
       1.038366188762e-04       1.989160685772e+07       1.989156159732e+07       2.516965908020e+07       0.000000000000e+00       1.988714275893e+07       6.160574519116e+06 
       1.045341577446e-04       1.989157852954e+07       1.989153266500e+07       2.515183299410e+07       0.000000000000e+00       1.988710403401e+07       6.160564641426e+06 
       1.052324374972e-04       1.989154998322e+07       1.989150350999e+07       2.513388020887e+07       0.000000000000e+00       1.988706501027e+07       6.160554688241e+06 
       1.059314636929e-04       1.989152121795e+07       1.989147413150e+07       2.511580046667e+07       0.000000000000e+00       1.988702568662e+07       6.160544659298e+06 
       1.066312419084e-04       1.989149223294e+07       1.989144452871e+07       2.509759350821e+07       0.000000000000e+00       1.988698606194e+07       6.160534554331e+06 
       1.073317777375e-04       1.989146302740e+07       1.989141470080e+07       2.507925907271e+07       0.000000000000e+00       1.988694613514e+07       6.160524373075e+06 
       1.080330767920e-04       1.989143360050e+07       1.989138464695e+07       2.506079689794e+07       0.000000000000e+00       1.988690590508e+07       6.160514115258e+06 
       1.087351447014e-04       1.989140395142e+07       1.989135436632e+07       2.504220672023e+07       0.000000000000e+00       1.988686537063e+07       6.160503780609e+06 
